# phi		potential		B		eigenvalue
3.141592654		0.5		0.7878787879		1.522876527e-23
3.141592654		0.5		0.7878787879		1.512414069e-23
3.141592654		0.5		0.7878787879		1.485243534e-23
3.141592654		0.5		0.7878787879		1.429632927e-23
3.141592654		0.5		0.7878787879		1.411215928e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.6464646465		1.557175108e-23
3.141592654		0.5		0.6464646465		1.541475354e-23
3.141592654		0.5		0.6464646465		1.517216802e-23
3.141592654		0.5		0.6464646465		1.480770056e-23
3.141592654		0.5		0.6464646465		1.466255155e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.696969697		1.54493902e-23
3.141592654		0.5		0.696969697		1.53172259e-23
3.141592654		0.5		0.696969697		1.506466177e-23
3.141592654		0.5		0.696969697		1.46322994e-23
3.141592654		0.5		0.696969697		1.447142436e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.6767676768		1.549861149e-23
3.141592654		0.5		0.6767676768		1.535703488e-23
3.141592654		0.5		0.6767676768		1.510840607e-23
3.141592654		0.5		0.6767676768		1.470340339e-23
3.141592654		0.5		0.6767676768		1.454869761e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.7373737374		1.535075003e-23
3.141592654		0.5		0.7373737374		1.523421781e-23
3.141592654		0.5		0.7373737374		1.497371965e-23
3.141592654		0.5		0.7373737374		1.448625641e-23
3.141592654		0.5		0.7373737374		1.431391171e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.6363636364		1.559584641e-23
3.141592654		0.5		0.6363636364		1.543348845e-23
3.141592654		0.5		0.6363636364		1.519297907e-23
3.141592654		0.5		0.6363636364		1.484184127e-23
3.141592654		0.5		0.6363636364		1.469991742e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.9696969697		1.470056749e-23
3.141592654		0.5		0.9696969697		1.433290298e-23
3.141592654		0.5		0.9696969697		1.417797343e-23
3.141592654		0.5		0.9696969697		1.354100184e-23
3.141592654		0.5		0.9696969697		1.335487448e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.7474747475		1.532618321e-23
3.141592654		0.5		0.7474747475		1.521274699e-23
3.141592654		0.5		0.7474747475		1.495018368e-23
3.141592654		0.5		0.7474747475		1.444893425e-23
3.141592654		0.5		0.7474747475		1.427396596e-23

# phi		potential		B		eigenvalue
3.141592654		0.5		0.9292929293		1.479526675e-23
3.141592654		0.5		0.9292929293		1.458574972e-23
3.141592654		0.5		0.9292929293		1.445911461e-23
3.141592654		0.5		0.9292929293		1.371876144e-23
